name,brand,family,notes_top,notes_heart,notes_base
Fragrance World Mark & Victor,Fragrance World,Aromatic,citrus,spice,woody
Club de Nuit Sillage,Armaf,Citrus Floral Musky,bergamot|lemon|lime|black currant|violet leaf|ginger,rose|jasmine|iris,ambroxan|musk|cedar
Blu by Ahmad,Ahmed Al Maghribi,Woody Aromatic,citrus|grapefruit,ginger|pepper|jasmine,cedar|sandalwood|musk
Petals of Desire 8.0,Scentedelic,Amber Floral,rose,coffee,vanilla|musk
Bazinga Absolu,Scentedelic,Citrus Green,green apple|bergamot,cashmeran|cedar,oakmoss|musk
Magic Mushroom,Scentedelic,Musk Floral,bergamot,white musk|black currant,sandalwood
Dopamine Absolu 2.0,Scentedelic,Citrus Green,green apple|bergamot,cedar,oakmoss|musk
Long Island Ice Tea 2.0,Scentedelic,Citrus Tea,bergamot|grapefruit,tea|fig,musk|cedar
Monkey D. Luffy,Scentedelic,Citrus Marine,bergamot|lemon,marine|herbal,ambergris|musk
Equilibrium Aqua,Scentedelic,Aquatic Amber,bergamot|sea notes,ambergris,patchouli|woody
Fractal Cologne,Scentedelic,Citrus Almond,citrus|grapefruit,almond|neroli,white musk|vetiver
Kakashi 33,Scentedelic,Aromatic,bergamot|ambroxan,woody,musk
Yellow Flash,Scentedelic,Citrus Musky,bergamot,musk,musk|amberwood
Sacred Temptation (Mridul),Mridul,Woody Amber,vetiver|grapefruit,cedarwood|jasmine|almonds|resins,musk|saffron|amber|vanilla|sandalwood|rhubarb|woody notes
Patchouli Rum (Mridul),Mridul,Amber Leather,coffee|patchouli,rose|saffron,leather|sandalwood|honey|amber|vetiver
Dusk Till Dawn (Mridul),Mridul,Amber Spicy,citrus|spice,resin|jasmine|coffee,leather|vanilla|patchouli
Bourbon Silk (Mridul),Mridul,Amber,cognac|immortelle|coriander|laurel leaf,bourbon vanilla|amber,suede|patchouli
Santal 1 (Mridul),Mridul,Woody,neroli|raspberry|pineapple,plum|jasmine sambac|rose,sandalwood|amber|patchouli|cedar
Nile to Milky Way (Mridul),Mridul,Amber Leather,amber|raspberry,leather|musk,indonesian oud|pink rose|cashmeran
Labyrinth Potion (Mridul),Mridul,Amber Spicy,passionfruit|honey,bergamot|coffee|cinnamon|jasmine|orange blossom,leather|cardamom|vanilla|patchouli
Sambac Noix (Raahi),Raahi,Floral Woody Musky,almond|soft florals,jasmine sambac,creamy sandalwood|musk
Albait Prive,Albait,Amber,spice,amber,musk|woody
Okami Umi,Unknown,Aromatic Aquatic,marine|citrus,aromatic,musk|woody
Lattafa Kingdom,Lattafa,Amber Woody,citrus|spice,amber,woody|musk
Maison Alhambra Yeah Man,Maison Alhambra,Aromatic Fresh,citrus|apple,aromatic,musk|woody
accento-overdose-pride-edition,xerjoff,rose,fruity notes|aldehydes|green notes,bulgarian rose|egyptian jasmine|lily-of-the-valley,eucalyptus|pine
classique-pride-2024,jean-paul-gaultier,citrus,yuzu|citruses,orange blossom|neroli,musk|blonde woods
classique-pride-2023,jean-paul-gaultier,citrus,blood orange|yuzu,neroli|orange blossom,musk|white woods
pride-edition-man,bruno-banani,fruity,guarana|grapefruit|red apple,walnut|lavender|guava,vetiver|benzoin|amber
le-male-pride-collector,jean-paul-gaultier,aromatic,mint|lavender|cardamom|artemisia|bergamot,caraway|cinnamon|orange blossom,vanilla|sandalwood|amber|cedar|tonka bean
le-male-pride-2023,jean-paul-gaultier,citrus,yuzu|blood orange,neroli|orange blossom,musk|white woods
le-male-pride-2024,jean-paul-gaultier,white floral,citruses|yuzu,neroli|orange blossom,woodsy notes|musk
polo-red-pride-edition,ralph-lauren,woody,cranberry|pink grapefruit|citron,clary sage|lavender|saffron,amberwood|brazilian redwood|coffee
ralph-pride-edition,ralph-lauren,citrus,tangerine|green apple|freesia,magnolia|lime (linden blossom)|osmanthus,musk|white iris
waffle,we-pink,powdery,strawberry|almond|raspberry,butter|peach blossom|violet,praline|vanilla|musk
le-male-pride-edition,jean-paul-gaultier,citrus,blood orange|yuzu,neroli|orange blossom,musk|white woods
rouge-imperiale,vivamor-parfums,leather,saffron|bulgarian rose,australian sandalwood|iris|jasmine,suede|bourbon vanilla|texas cedar
cherry-lady,brocard,fruity,watermelon|mango|papaya|pineapple|peach|lemon,lotus|hibiscus,musk|sandalwood|amber
french-kiss,bybozo,fruity,lemon verbena|neroli,fig|corn|magnolia|saffron|barberry|cherry blossom,pear wood|meringue|amber
erba-oud,sospiro-perfumes,citrus,orange|bergamot|lemon,melon|saffron|peach|apple,agarwood (oud)|leather|vanilla|amber|white musk
donald-trump,trump,green,cucumber|black basil|mint|citruses,spicy notes|pepper|herbal notes|woody notes,spicy notes|exotic woods|vetiver
school,rook-perfumes,rubber,concrete|woody notes|ozonic notes|moss,rubber|paper|olibanum,coffee|cedar
glamour-gold-glam,o-boticario,woody,raspberry|neroli|bergamot,jasmine|orange blossom|tuberose,clearwood|amber|sandalwood|patchouli|cistus incanus
clean-simply-soap,clean,floral,bergamot|frangipani,lotus|violet|rose,musk
visionair-midnight-blue,michael-malul-london,ozonic,watermelon|lavender|bergamot,lotus|jasmine,musk|sandalwood|amber
malbec-sport,o-boticario,leather,nutmeg|cardamom|lime|bergamot|mandarin orange|juniper,lavender|geranium|head space waterfall|sage,leather|patchouli|sandalwood|musk|amber|cedar|moss|vetiver|tonka bean
cyber-sex,filippo-sorcinelli,aromatic,juniper berries|pink grapefruit|mandarin orange|neroli,rosemary|spices|cyclamen|lavender|almond blossom,ambrette (musk mallow)|vetiver|cedar|precious woods|vanilla|tonka bean
classique-pride-edition,jean-paul-gaultier,citrus,yuzu|blood orange,neroli|orange blossom,musk|white wood
oud-imperium,navitus-parfums,woody,apple|lavender|lemon,jasmine|vanilla|woody notes|lily-of-the-valley,agarwood (oud)|amber|tonka bean|sandalwood|cypriol oil or nagarmotha|musk|guaiac wood
vetiver,franck-boclet,citrus,bergamot|lemon|orange,vetiver|orange blossom|lily-of-the-valley|rose|jasmine,vetiver|musk|sandalwood|cedar|chive
cristina-la-veneno-veneno-pa-tu-piel,ricardo-ramos-perfumes-de-autor,vinyl,tonic water|gin|berry fruits,vinyl|blood|saffron|turkish rose,madagascar vanilla|musk|galbanum|sandalwood
quickie-and-coffee,filippo-sorcinelli,musky,coffee|honey|pine,animal notes|saffron|marine notes|jasmine,musk|ambrette|amber
orangerie-mimosa,faberlic,yellow floral,mimosa,red lily,iris|tonka bean
aventhis,in-the-box,fruity,bergamot|pineapple|apple|black currant leaf,birch|patchouli|red berries|jasmine,oakmoss|musk|amber|vanilla
212-heroes-collector-edition,carolina-herrera,leather,pear|cannabis|lemon zest|ginger,african geranium,leather|woodsy notes
wild-carrot-oud,bohoboco,earthy,carrot|cinnamon|bergamot,agarwood (oud)|dry wood|cedar|tobacco,earthy notes|leather|styrax
titaniks,dzintars,aromatic,watery notes|bergamot|grapefruit,seaweed|myrtle|iris,pine tree|woody notes|amber
neroli,aaron-terence-hughes,white floral,neroli,jasmine sambac,sandalwood
snow-palace,brocard,ozonic,ozonic notes|aquatic notes|aldehydes,white musk|lily of the valley|bergamot,sandalwood|amber
neroli-outrenoir-2024,guerlain,citrus,petitgrain|bergamot|lemon|tangerine|grapefruit,tea|neroli|earthy notes|orange blossom|smoke,benzoin|vanilla|ambrette (musk mallow)|myrrh|moss
santal-rouge,il-profvmo,woody,bitter orange,sandalwood|carnation|red berries,clove|brazilian rosewood
oud-luxuria,navitus-parfums,rose,turkish rose|saffron|leather|red berries|orange|cinnamon,geranium|rose|jasmine|osmanthus,agarwood (oud)|incense|musk|labdanum|amber
diesel-green-feminine-special-edition,diesel,warm spicy,lime|ginger|cinnamon,carnation|orange blossom|jasmine|rose,cedar|sandalwood|amber|musk
whispers-of-temptation,house-of-sillage,fruity,black currant|plum|cardamom,saffron|rose petals|night blooming jasmine,suede|agarwood (oud)|australian sandalwood
dodo-edition-2020,zoologist-perfumes,fresh spicy,rosemary|petitgrain|bergamot|pink pepper,black currant|pineapple|clary sage|cardamom,cumin|basil|lavender|musk|geranium|oakmoss|patchouli|tonka bean|oak
oshi,bi-es,floral,freesia|litchi|peony|pepper,lily-of-the-valley|magnolia|violet root,powdery notes|cedar|white musk
spring-bloom,brocard,fresh,citruses|green notes|watery notes|mint,peony|apple|rose|lily-of-the-valley|plum,musk|woody notes|amber
laaurora,ricardo-ramos-perfumes-de-autor,warm spicy,bergamot|cardamom|violet,turkish rose|atlas cedar|carnation,olibanum|gurjan balsam|cashmere musk
charming-snowdrop,pokrovka-trading-house,floral,freesia|pepper,snowdrops|jasmine|bulgarian rose,incense|sandalwood
desir-infini,navitus-parfums,woody,italian lemon|red fruits,geranium|saffron,woodsy notes|oud|leather|smoke|amber
cafe,franck-boclet,woody,coffee|bergamot|lemon,lily|rosemary|orange blossom|rose,moss|patchouli|sandalwood|vanilla|amber|cedar|vetiver
1-million,paco-rabanne,citrus,blood orange|grapefruit|mint,cinnamon|spices|rose,leather|amber|white woods|patchouli
erato,brocard,sweet,coriander|lemon|orange,strawberry|violet|spun sugar|raspberry,vanilla|musk|sandalwood|palisander rosewood|tolu balsam|amber
new-look-2024,dior,amber,aldehydes,frankincense,amber
morayma,ricardo-ramos-perfumes-de-autor,white floral,fig leaf|guava|coriander|grapefruit,gardenia|jasmine|magnolia|chamomile|narcissus,musk|hay|orris root
flowers,franck-boclet,white floral,basil|lime|bergamot,lily-of-the-valley|neroli|tuberose|rose,ylang-ylang|musk|sandalwood
popper-pop,filippo-sorcinelli,fruity,sweet almond|red apple|mint|nashi pear,orchid|magnolia|davana|pitosporum,woody notes
kaorishiro,dilis-parfum,green,lemon verbena|jasmine,hyacinth|musk|lemon,galbanum|cedar|moss
lesnaa-malina-i-dusica-wild-raspberries-and-oregano,brocard,fruity,raspberry|watery notes|wild strawberry,rose hip|violet,caramel|musk|oakmoss
collection-privee-brise-d-amour,faberlic,white floral,neroli|rose hip|pineapple|green apple|jasmine|galbanum,freesia|iris|lily|lily-of-the-valley|rose,musk|amber|vanilla|apricot
roma-eau-de-toilette-rosa,laura-biagiotti,vanilla,wild berries|bergamot,rose|jasmine|peony|neroli,vanilla|musk|sandalwood
campus,molinard,fruity,pineapple|apple|lemon,geranium|lavender|sandalwood,patchouli|amberwood|musk
veneno,miguel-matos,woody,narcissus|cypriol oil or nagarmotha|saffron|osmanthus,cade oil|civet|patchouli|lily-of-the-valley|amber|rose,peru balsam|costus|musk|ambrette (musk mallow)|oakmoss|tonka bean
slightly-b-tch,filippo-sorcinelli,yellow floral,leather|clementine|mint|bitter orange|green almond,ylang-ylang|artemisia|hawthorn|labdanum,cedar|pine tree
souvenir,faberlic,white floral,freesia|raspberry|litchi,lily-of-the-valley|lily|jasmine|ylang-ylang|rose|peony,patchouli|white musk
love-pulse,avon,rose,carambola (star fruit),rose,musk|cedar
egeo-on-you,o-boticario,aromatic,mint|eucalyptus|cardamom|pineapple|bergamot|peach|melon,fenugreek|woody notes|sage|green leaves|lavender|galbanum,milk|vetiver|benzoin|sandalwood|amber|musk
uviolet,faberlic,floral,green leaves|pink grapefruit,flowers|magnolia|orchid|blackberry,white wood|amber|vanilla
scarlet-rain,mandarina-duck,floral,blood orange|red currant,cyclamen|orchid|rose,benzoin|amber|musk
western-leather-white,alexandre-j,fruity,apple|rhubarb|red berries,pineapple|pear|black currant|freesia|rose|jasmine,white musk|violet|amberwood|moss
little-mermaid,disney,white floral,jasmine sambac,tuberose,almond
wild-orange,fragrance-du-bois,citrus,orange|mandarin orange|lemon|bergamot,orange blossom|lily of the valley|cypress,sandal|cedar|patchouli|vetiver
vf-virginia-fonseca-honey,we-pink,woody,blood orange|peach|cardamom,rum|cognac|jasmine,vanilla|patchouli|sandalwood
muguet-du-bonheur-2021,caron,citrus,watermelon|lime|nashi pear|bergamot|italian mandarin,lily-of-the-valley|turkish rose|rose,patchouli|moss|virginian cedar
success,trump,aromatic,juniper|coriander|red currant,bamboo|ginger|geranium,birch|vetiver|musk|tonka bean
chic-blossom,haute-fragrance-company-hfc,white floral,indian jasmine|italian lemon|italian mandarin,jasmine sambac|amber,musk|benzoin|tobacco
synthetic-nature,frederic-malle,white floral,black currant|lily of the valley|basil,jasmine|hyacinth|ylang ylang,patchouli
lagerfeld-femme,karl-lagerfeld,green,rhubarb|green mandarin|elemi resin,narcissus|lily,cedar|musk|cherry
pearl,arabesque-perfumes,sweet,green apple|guava,sweet notes|tonka bean|peach|orange,white musk|white flowers|vanilla
sweet-sin,vivamor-parfums,fruity,peach|dried apricot,rum|benzoin|tonka bean,indonesian patchouli leaf|madagascar vanilla|white musk
tutti-twilly-d-hermes,hermes,fruity,litchi,ginger flower,musk
sankai-black,bi-es,aromatic,lemon|orange leaf|pineapple,lavender|geranium|clary sage|lily-of-the-valley|rose,musk|sandalwood|cedar
forest-oud,the-dua-brand,woody,pine needles|grass,palisander rosewood,amber|agarwood (oud)
wood-flake,j-scent,woody,hinoki wood|cedar,vetiver|rose,guaiac wood|vanilla|musk|sandalwood
glacier-athletic,oriflame,citrus,orange|lemon|sea water|bergamot,artemisia|cardamom,sandalwood|guaiac wood|amber|tonka bean
fiori-di-luna,bi-es,citrus,mandarin orange|grapefruit,orange|peach,woody notes|musk
svetskaya-lvitsa,brocard,fruity,green apple|black currant|plum,rose|freesia|lily-of-the-valley,musk|cedar|sandalwood
sunshine-kiss,avon,tropical,carambola (star fruit),frangipani,musk
away-weekend-man,abercrombie-fitch,aromatic,bergamot|apple|cardamom|clementine,lavender|clary sage|cypress|rosemary,atlas cedar|patchouli|cacao
sepia,aftelier,white floral,mandarin orange|grapefruit|cedar,jasmine|big strawberry|coffee|cacao|lotus,ambergris|white tobacco|boletus edulis|indole|agarwood (oud)|labdanum
rives,ellis-brooklyn,white floral,neroli|petitgrain,lavender|orange blossom,cashmere wood|white suede
celebre-ice,avon,citrus,grapefruit|green notes|bergamot|violet leaf,rose|freesia|peach,musk|woody notes|vanilla
purple-elixir,alyssa-ashley,white floral,star anise|jasmine|solar notes|aldehydes,jasmine|orange blossom|heliotrope|cashmere wood,amber|musk|vetiver
gaultier-divine-le-parfum,jean-paul-gaultier,amber,solar notes|lily,frangipani|sea salt,amber|benzoin
eye-to-eye-vlublena,faberlic,sweet,cinnamon|apple|pineapple,toffee|caramel|vanilla|peach|jasmine|violet,tonka bean
shisha-lounge,ricardo-ramos-perfumes-de-autor,sweet,anise|red fruits|hazelnut|neroli,tobacco|labdanum|oakmoss|patchouli,amber|madagascar vanilla|tonka bean|musk
filth,aaron-terence-hughes,leather,gardenia|jasmine sambac,amber|dark chocolate,leather|patchouli|natural musk
dragon,boadicea-the-victorious,amber,cinnamon|saffron,incense|magnolia|amber,cashmere musk|vanilla
deep-dark-vanilla,ds-durga,green,cabreuva|orchid|pink pepper,cypress|vanilla leaves|vine,dark patchouli|vanilla absolute|hay
red-roses-cologne-2023,jo-malone-london,rose,lemon,red rose,honeycomb
elvie-white-magic,oriflame,citrus,amalfi lemon|neroli|bergamot|pink pepper,jasmine|african orange flower|freesia,musk|virginia cedar|sandalwood
flower-fresh,faberlic,green,grass|watermelon|mandarin orange|peony,pink tulip|peach|tomato leaf,cypress|musk
d-red-by-diesel,diesel,lavender,blood grapefruit,lavender,sandalwood
dolly-girl-lil-starlet,anna-sui,citrus,lemon|orange|pear,peony|lily,plum|musk
a-oud-ancienne,rogue-perfumery,woody,agarwood|cypress,castoreum|amyris|labdanum,oakmoss|ylang ylang|bitter almond
men-brahma,o-boticario,aromatic,eucalyptus|lemon|black pepper|bergamot,elemi|artemisia|sage|cardamom,amber|musk|cedar|patchouli|vetiver
yucatan-secret,comptoir-sud-pacifique,ozonic,watermelon|bergamot,absinthe|lavender,sandalwood|cashmere wood|amber
vanilla-milk,ellis-brooklyn,vanilla,milk|frangipani|jasmine|peony,bourbon vanilla|madagascar vanilla|cacao pod,benzoin|amyris|sandalwood|musk
vodka-pink,paris-elysees,earthy,verbena|sage|chamomile,rose|white flowers|geranium,moss|patchouli|vetiver
champagne-royale,navitus-parfums,warm spicy,ginger|champagne|sicilian lemon|italian mandarin,plum|iris|geranium|ceylon cinnamon|nutmeg|cypress,balsam fir|leather|virginia cedar|guaiac wood
lamborghini,jequiti,woody,green notes|bergamot|pineapple|lime,cedar|apple|lily-of-the-valley,musk|vanilla|ambergris
fashionista,ellen-tracy,powdery,peach|plum|melon|citruses,mimosa|orange blossom|violet,woody notes|spicy notes
revelation,cb-i-hate-perfume,woody,fig leaf,white honey|spices,cypress|virginia cedar|french labdanum|amber
floral-musk,attar-collection,musky,tagetes|jasmine,caramel|amber,white musk|moss|lily-of-the-valley
muna,lattafa-perfumes,floral,watermelon|strawberry,cyclamen|magnolia|peony|damask rose,musk|woody notes
love-forever-white,bi-es,white floral,grapefruit|black currant|apricot,lily-of-the-valley|jasmine|rose,apple|woody notes
sin,bi-es,fruity,tangerine|red currant|green notes,rose|plum|orange|freesia,amber|patchouli|musk
e-l,zarkoperfume,green,white flowers|pomegranate,sea notes|green notes|green tea,white musk|white woods
fcuk-him,fcuk,aromatic,lavender|rosemary|basil,tea|sage,vanilla|patchouli
ehsas,al-haramain-perfumes,woody,musk|ambergris|woody notes|rose|white flowers|citruses|spicy notes,musk|ambergris|woody notes|aldehydes|lily-of-the-valley|sea notes|geranium|artemisia,musk|ambergris|rose|sandalwood|tonka bean|moss|guaiac wood
avon-luck-eau-so-happy,avon,musky,raspberry,magnolia,musk
phantom-legion,paco-rabanne,citrus,lemon zest|lavender|lemon,patchouli|smoke|lavender|earthy notes|apple,vanilla|lavender|vetiver
vanilla-sex,tom-ford,vanilla,bitter almond,vanilla|floral notes,vanilla absolute|ultravanil™|tonka bean|sandalwood
giordani-gold,oriflame,white floral,white flowers|orange blossom|mandarin orange|lemon blossom,jasmine|tuberose|lily,cypress|patchouli|moss|white musk
commedia-dell-arte,brocard,sweet,orange|lemon|bergamot,apricot|plum|honeysuckle|white flowers,honey|vanilla|musk
sea-sparkle,brocard,ozonic,sea water|citruses|ozonic notes,melon|jasmine|herbal notes,ambergris
show-off,charriol,fruity,black currant|bergamot|peach,rose|lotus|violet,virginia cedar|musk|amber
wednesday,house-of-sillage,rose,black pepper|elemi resin|saffron,turkish rose|rose|magnolia,patchouli|vetiver|agarwood
colore-colore-violet,parfums-genty,fruity,black currant|blackberry|pineapple,sugar cane|rose|green notes|jasmine,musk|sandalwood|woody notes
gourmand-bakhoor-dehn-al-oud,jousset-parfums,almond,caramel|vanilla|amaretto,almond|cacao|honey,agarwood (oud)
cherry-bloom,bi-es,violet,green grass|grapes,jasmine|cherry|violet|almond,iris|musk
le-secret-du-charme,brocard,fruity,pear|apple|lemon,cedar|sandalwood|lily-of-the-valley,musk|vanilla|amber
mexx-spring-is-now-woman,mexx,floral,apple|grapefruit|black currant,rose|lily-of-the-valley,peach blossom|brazilian rosewood
presenze,hilde-soliani,white floral,bergamot,jasmine|lily-of-the-valley|patchouli,vetiver|amber|vanilla
whispers-of-strength,house-of-sillage,white floral,boysenberry|frangipani,indian tuberose|egyptian jasmine,amber|vanilla
here-to-stay,naomi-campbell,fruity,raspberry|black currant,rose|jasmine,musk|vanilla
deja-vu,teo-cabanel,fruity,bubble gum|raspberry|citron,iris|jasmine sambac|orange blossom,white leather|white musk
active-water,sergio-tacchini,aromatic,caraway|white musk,cedar|egyptian pelargonium|sandalwood,juniper berries|bergamot
colore-colore-pink,parfums-genty,fruity,grapefruit|lemon|bergamot|rose|white flowers|jasmine,raspberry|red berries|peach|wild strawberry,woody notes|musk
opulentas,navitus-parfums,woody,apple|lemon|pink pepper,agarwood (oud)|cypriol oil or nagarmotha|rose|patchouli,woody notes|amber|oakmoss
clean-baby-girl,clean,powdery,cyclamen|lemon|orange|egyptian pelargonium,heliotrope|african violet|lavender|ceylon cinnamon|ylang-ylang,white musk|cedar
h2eau-golden-citrus,clean,citrus,mandarin orange|water notes|bergamot,neroli|orange blossom,musk
al-misk,ricardo-ramos-perfumes-de-autor,woody,copaiba balm|bergamot|absinthe,black pepper|magnolia|mace,guaiac wood|musk|gurjan balsam
sweet-spoiled,haute-fragrance-company-hfc,vanilla,artemisia|rum,crithmum|osmanthus|labdanum,madagascar vanilla|benzoin|patchouli
indomptee,lulu-castagnette,fruity,pineapple|guava|mango|bergamot|melon|mandarin orange|black currant,magnolia|rose|lily-of-the-valley|jasmine,iris|patchouli|oakmoss|vetiver
spring-narcissus,pokrovka-trading-house,yellow floral,geranium|rose,narcissus|lily-of-the-valley,vanilla|cedar|patchouli
aspire,avon,white floral,aldehydes,jasmine|african orange flower|iris|rose,musk|sandalwood|virginia cedar
sirenis,les-liquides-imaginaires,musky,clary sage|bergamot|cardamom,genet|flowers|sandalwood,musk|moss|amber|vetiver|patchouli
lovely-kiss,salvador-dali,fruity,grapefruit|rhuburb|black currant|sugar|pink pepper,litchi|violet|peony,musk|patchouli|virginia cedar
poggia,tiziana-terenzi,citrus,bergamot|lemon|peach|orange,ylang-ylang|rosemary|turkish rose|passionfruit|green apple,musk|ambergris|vanilla
t-shelby,calaj,ozonic,pineapple|lemon|bergamot|grapefruit,ozonic notes|myrtle|cassia|orange blossom,seaweed|earthy notes|ambergris|oakmoss|melon|incense|cedar
strast,brocard,fruity,raspberry|mandarin orange|orange|apple,litchi|rose|apricot|lily,musk|amber
cashmere-kush,boy-smells,musky,rhubarb|pink pepper|aldehydes,orris|heliotrope|tulip,cashmere wood|ambroxan|musk|vetiver
my-sin,lanvin,fruity,juicy apricot|pear,freesia|rose petals,musk|sandalwood
fortuna,electimuss,rose,saffron|grapefruit,lily-of-the-valley|rose|geranium,agarwood (oud)|musk|patchouli|vetiver
love,avon,floral,apple blossom|fruity notes|orange,rose|lily-of-the-valley|jasmine,musk|white woods|vanilla
egeo-choc-mint,o-boticario,aromatic,basil|mint|ginger|bergamot,sage|geranium|lavender|chocolate|davana|cinnamon,patchouli|cedar|cashmeran|tonka bean
cherchez-la-femme,faberlic,citrus,currant buds|bergamot|lemon|aldehydes|mandarin orange,freesia|peony|orchid|cardamom|cyclamen|rose,guaiac wood|sandalwood|white wood|ambergris
dominant,antonio-maretti,aromatic,apple|lemon|cardamom,tarragon|sage|geranium,oakmoss|vanilla|cashmere wood
cherish-escape,avon,violet,pink grapefruit|pear|wild strawberry leaf,violet|rose petals|jasmine sambac,sandalwood|amber|dark chocolate
pur-blanca-elegance,avon,white floral,pear|strawberry|mandarin orange,gardenia|white orchid|jasmine,white musk|vanila|amber
paper,commodity,woody,iso e super,cedar,sandalwood
rose-amber-cologne-2024,jo-malone-london,rose,clove|pink pepper,rose|ginger,amber|white musk|patchouli
flower-by-kenzo-summer-2008,kenzo,floral,ginger|mandarin orange|litchi,freesia|parma violet,white musk|incense
crystal,bi-es,white floral,apple|grapefruit|galbanum|orange,jasmine|lily-of-the-valley|rose,musk|vanilla|amber|tonka bean|cedar
pink-taxi,brocard,fruity,strawberry|black currant|apple,sweet pea|rose|jasmine|freesia,musk|sandalwood|amber
zest-z-t,borntostandout,aromatic,gin|juniper|lemon verbena|pink pepper|guatemalan cardamom,coriander|clary sage|black pepper,elemi|patchouli|virginia cedar
urbane,vivamor-parfums,citrus,grapefruit|pink pepper|brazilian orange|bergamot|lemon,cardamom|lavender|neroli|gin,amber|sandalwood|musk
silent,parfums-genty,green,green notes|apple,peony|peach|rose,musk|cedar
goji,l-erbolario,iris,almond|italian lemon|calabrian bergamot,goji berries|iris|french rose|star anise,patchouli|vanila|vetiver
aventus-oil,creed,woody,pineapple|bergamot|black currant|apple,birch|patchouli|jasmine|rose,oakmoss|musk|ambergris|vanilla
more-is-more,wilgermain,aromatic,chinese osmanthus|clary sage|davana,rose water|broom|leather,haitian vetiver|ambrette (musk mallow)|singapore patchouli
cherry-lady-delicious,brocard,cherry,milk|cacao|almond|cloves|lime,cherry|raspberry|jasmine,vanilla|amber
slytherin-parfum,house-of-sillage,citrus,grapefruit|bergamot|cardamom,tobacco|black rose|clary sage,patchouli|australian sandalwood|musk
whispers-of-time,house-of-sillage,citrus,bergamot|tunisian neroli,orange blossom|ginger,cedar|musk
the-lawyer,zarkoperfume,citrus,bergamot|mandarin orange|lemon,spices|dark chocolate|white orchid,resins|sandalwood|musk
bonne-etoile-baby-dior,dior,musky,green pear,wild rose,white musk
habit-rouge-l-instinct,guerlain,green,green notes|grapefruit|bergamot,cannabis|mate|red rose,leather|patchouli|vanilla
neroli-portofino-parfum,tom-ford,citrus,neroli|bergamot|blood orange|lemon,tunisian neroli|clary sage|jasmine sambac|pitosporum,sylkolide|musk|amber
shahrazad-saherezada,brocard,citrus,orange|bergamot,tuberose|magnolia,amber|vanilla|musk
oceanica,faberlic,aquatic,cucumber|sea notes|black currant leaf,water lily|violet|cyclamen,musk
life-is-now-for-him,mexx,aromatic,cardamom|bergamot|pineapple|apple,sea notes|lavender|freesia,sandalwood|patchouli
osmanthus-fragrans,acqua-di-stresa,floral,osmanthus|pomegranate,rose|camellia|jasmine|hyacinth,musk|amber
campfire-rebel,pinrose,woody,whiskey|raspberry,incense|agarwood (oud),vetiver|bourbon vanilla
maroon,max-philip,woody,black currant|bergamot,iris|rose|jasmine,patchouli|caramel|leather|white musk
pineapple,max-philip,sweet,pineapple|pineapple leaf,coconut|patchouli|orange blossom,vanilla|sandalwood
summer-white,avon,aldehydic,aldehydes|grapefruit|freesia,jasmine|lily-of-the-valley|orange|orchid,musk|sandalwood
